#t_day: time in days,,,
"#C_F: cadmium concentration in food, mg/kg food",,,
#length_mm: body length in mm,,,
#T_cels: ambient temperature in deg celsius,,,
,,,
t_day,length_mm,C_F,T_cels
0,0.712222222,0,15
2,0.8125,0,15
5,0.925714286,0,15
9,1.137142857,0,15
12,1.37,0,15
16,1.424285714,0,15
19,1.481428571,0,15
23,1.712857143,0,15
26,1.748571429,0,15
33,1.922857143,0,15
37,1.922857143,0,15
40,1.925714286,0,15
44,1.961428571,0,15
48,2,0,15
51,2.034285714,0,15
55,2.064285714,0,15
62,2.071428571,0,15
0,0.699,100,15
2,0.809,100,15
5,0.911,100,15
9,1.13,100,15
12,1.35,100,15
16,1.41,100,15
19,1.472,100,15
23,1.691,100,15
26,1.72,100,15
33,1.9,100,15
37,1.909,100,15
40,1.929,100,15
44,1.925555556,100,15
48,1.955555556,100,15
51,2.005555556,100,15
55,2.027777778,100,15
62,2.036666667,100,15
0,0.661111111,500,15
2,0.758888889,500,15
5,0.861111111,500,15
9,1.068888889,500,15
12,1.265555556,500,15
16,1.326666667,500,15
19,1.375555556,500,15
23,1.514444444,500,15
26,1.544444444,500,15
33,1.705555556,500,15
37,1.705555556,500,15
40,1.704444444,500,15
44,1.746666667,500,15
48,1.776666667,500,15
51,1.806666667,500,15
55,1.827777778,500,15
62,1.85,500,15
0,0.559,1500,15
2,0.639,1500,15
5,0.731,1500,15
9,0.901,1500,15
12,1.079,1500,15
16,1.129,1500,15
19,1.17,1500,15
23,1.29,1500,15
26,1.311,1500,15
33,1.435555556,1500,15
37,1.434285714,1500,15
40,1.425714286,1500,15
44,1.465714286,1500,15
48,1.495714286,1500,15
51,1.515714286,1500,15
55,1.537142857,1500,15
62,1.548571429,1500,15
0,0.474444444,2000,15
2,0.55,2000,15
5,0.63,2000,15
9,0.76125,2000,15
12,0.915,2000,15
16,0.9425,2000,15
19,1.005714286,2000,15
23,1.098571429,2000,15
26,1.11,2000,15
33,1.231666667,2000,15
37,1.22,2000,15
40,1.218333333,2000,15
44,1.248333333,2000,15
48,1.268333333,2000,15
51,1.288333333,2000,15
55,1.298333333,2000,15
62,1.315,2000,15
0,0.609,0,20
2,0.723,0,20
4,0.857,0,20
7,1.019,0,20
9,1.095,0,20
11,1.303,0,20
14,1.455,0,20
18,1.664,0,20
21,1.757,0,20
25,1.968,0,20
28,2.024444444,0,20
32,2.043333333,0,20
35,2.062222222,0,20
42,2.091111111,0,20
46,2.12,0,20
49,2.157142857,0,20
53,2.19,0,20
57,2.235714286,0,20
60,2.277142857,0,20
64,2.31,0,20
71,2.35,0,20
0,0.599,100,20
2,0.72,100,20
4,0.85,100,20
7,1.01,100,20
9,1.08,100,20
11,1.29,100,20
14,1.44,100,20
18,1.651,100,20
21,1.72,100,20
25,1.926666667,100,20
28,1.976666667,100,20
32,2.096666667,100,20
35,2.117777778,100,20
42,2.147777778,100,20
46,2.19125,100,20
49,2.23125,100,20
53,2.2725,100,20
57,2.3125,100,20
60,2.3625,100,20
64,2.387142857,100,20
71,2.397142857,100,20
0,0.581,500,20
2,0.68,500,20
4,0.809,500,20
7,0.959,500,20
9,1.03,500,20
11,1.23,500,20
14,1.37,500,20
18,1.569,500,20
21,1.649,500,20
25,1.864444444,500,20
28,1.914444444,500,20
32,1.934444444,500,20
35,1.953333333,500,20
42,1.9875,500,20
46,2.005,500,20
49,2.04625,500,20
53,2.0775,500,20
57,2.1175,500,20
60,2.1575,500,20
64,2.188571429,500,20
71,2.198571429,500,20
0,0.488,1500,20
2,0.579,1500,20
4,0.68,1500,20
7,0.81,1500,20
9,0.87,1500,20
11,1.03,1500,20
14,1.154444444,1500,20
18,1.323333333,1500,20
21,1.394444444,1500,20
25,1.564444444,1500,20
28,1.6025,1500,20
32,1.62125,1500,20
35,1.63375,1500,20
42,1.65125,1500,20
46,1.6825,1500,20
49,1.681428571,1500,20
53,1.711428571,1500,20
57,1.75,1500,20
60,1.782857143,1500,20
64,1.81,1500,20
71,1.812857143,1500,20
0,0.39,2000,20
2,0.481,2000,20
4,0.58,2000,20
7,0.68,2000,20
9,0.721,2000,20
11,0.865555556,2000,20
14,0.976666667,2000,20
18,1.0975,2000,20
21,1.16625,2000,20
25,1.29625,2000,20
28,1.332857143,2000,20
32,1.345714286,2000,20
35,1.354285714,2000,20
42,1.381666667,2000,20
46,1.391666667,2000,20
49,1.42,2000,20
53,1.441666667,2000,20
57,1.471666667,2000,20
60,1.491666667,2000,20
64,1.511666667,2000,20
71,1.521666667,2000,20
